Column,Bank,Type,W,L,Unit Cell,Block Cell,Top Block,Well/Sub,VDD,Notes,Column,Bank,Type,W,L,Unit Cell,Block Cell,Top Block,Well/Sub,VDD,Notes
101,3,nthickbc,1.2,0.35,UC19/COL19,BLOCK_NFETHVBC,BLOCK_NMOSHV_DNWELL,pwell/dnwell,3.3,,,,,,,,,,,,
102,3,nthickbc,1.2,0.5,UC20/COL20,BLOCK_NFETHVBC,BLOCK_NMOSHV_DNWELL,pwell/dnwell,3.3,,,,,,,,,,,,
103,3,nthickbc,1.2,0.5,UC20/COL20,BLOCK_NFETHVBC,BLOCK_NMOSHV_DNWELL,pwell/dnwell,3.3,,,,,,,,,,,,
104,3,nthickbc,1.2,0.8,UC21/COL21,BLOCK_NFETHVBC,BLOCK_NMOSHV_DNWELL,pwell/dnwell,3.3,,,,,,,,,,,,
105,3,nthickbc,1.2,0.8,UC21/COL21,BLOCK_NFETHVBC,BLOCK_NMOSHV_DNWELL,pwell/dnwell,3.3,,,,,,,,,,,,
106,3,nthickbc,1.2,8,UC22/COL22,BLOCK_NFETHVBC,BLOCK_NMOSHV_DNWELL,pwell/dnwell,3.3,,,,,,,,,,,,
107,3,nthickbc,1.2,8,UC22/COL22,BLOCK_NFETHVBC,BLOCK_NMOSHV_DNWELL,pwell/dnwell,3.3,,,,,,,,,,,,
108,3,nthickbc,8,0.35,UC23/COL23,BLOCK_NFETHVBC,BLOCK_NMOSHV_DNWELL,pwell/dnwell,3.3,,,,,,,,,,,,
109,3,nthickbc,8,0.35,UC23/COL23,BLOCK_NFETHVBC,BLOCK_NMOSHV_DNWELL,pwell/dnwell,3.3,,,,,,,,,,,,
110,3,nthick,8,8,UC32/COL32,BLOCK_NFETHVBC,BLOCK_NMOSHV_DNWELL,pwell/dnwell,3.3,"**Pattern Difference: 8/8 nthickbc Cell did not fit, so replaced with nthick surface channel",,,,,,,,,,,
111,3,nthick,8,8,UC32/COL32,BLOCK_NFETHVBC,BLOCK_NMOSHV_DNWELL,pwell/dnwell,3.3,"**Pattern Difference: 8/8 nthickbc Cell did not fit, so replaced with nthick surface channel",,,,,,,,,,,
112,3,nthick,0.42,0.35,UC25/COL25,BLOCK_NFETHVSC,BLOCK_NMOSHV_DNWELL,pwell/dnwell,3.3,"** High-voltage, surface channel, Deep n-well",,,,,,,,,,,"** High-voltage, surface channel, Deep n-well"
113,3,nthick,0.42,0.35,UC25/COL25,BLOCK_NFETHVSC,BLOCK_NMOSHV_DNWELL,pwell/dnwell,3.3,,,,,,,,,,,,
114,3,nthick,0.42,8,UC26/COL26,BLOCK_NFETHVSC,BLOCK_NMOSHV_DNWELL,pwell/dnwell,3.3,,,,,,,,,,,,
115,3,nthick,0.42,8,UC26/COL26,BLOCK_NFETHVSC,BLOCK_NMOSHV_DNWELL,pwell/dnwell,3.3,,,,,,,,,,,,
116,3,nthick,1.2,0.35,UC27/COL27,BLOCK_NFETHVSC,BLOCK_NMOSHV_DNWELL,pwell/dnwell,3.3,,,,,,,,,,,,
117,3,nthick,1.2,0.35,UC27/COL27,BLOCK_NFETHVSC,BLOCK_NMOSHV_DNWELL,pwell/dnwell,3.3,,,,,,,,,,,,
118,3,nthick,1.2,0.5,UC28/COL28,BLOCK_NFETHVSC,BLOCK_NMOSHV_DNWELL,pwell/dnwell,3.3,,,,,,,,,,,,
119,3,nthick,1.2,0.5,UC28/COL28,BLOCK_NFETHVSC,BLOCK_NMOSHV_DNWELL,pwell/dnwell,3.3,,,,,,,,,,,,
