,currIn,v2
571,9.94431e-10,-1.19353
572,9.97585e-10,-1.1816
573,9.95538e-10,-1.1668
574,9.9571e-10,-1.15098
575,9.94942e-10,-1.13632
576,9.98437e-10,-1.12626
577,9.96903e-10,-1.1149
578,9.96562e-10,-1.10412
579,9.93236e-10,-1.09147
580,9.95368e-10,-1.08127
581,9.9733e-10,-1.06876
582,9.95965e-10,-1.05841
583,9.94431e-10,-1.04605
584,9.97074e-10,-1.03426
585,9.96647e-10,-1.02061
586,9.95197e-10,-1.00896
587,9.97926e-10,-1.00091
588,9.96136e-10,-0.990133
589,9.95795e-10,-0.973315
590,9.95197e-10,-0.959516
591,9.93322e-10,-0.94629
592,9.96051e-10,-0.937667
593,9.96647e-10,-0.92128
594,9.93152e-10,-0.903454
595,9.97244e-10,-0.880888
596,9.96136e-10,-0.865507
597,9.93748e-10,-0.85027
598,9.94431e-10,-0.833738
599,9.94175e-10,-0.821519
600,9.97671e-10,-0.806713
601,9.95624e-10,-0.793922
602,9.96051e-10,-0.778253
603,9.97841e-10,-0.765891
604,9.95283e-10,-0.752378
605,9.94515e-10,-0.739441
606,9.94856e-10,-0.724635
607,9.96306e-10,-0.71558
608,9.95624e-10,-0.708106
609,9.94175e-10,-0.707531
610,9.97756e-10,-0.700343
611,9.96988e-10,-0.696604
612,9.96562e-10,-0.693443
613,9.97159e-10,-0.692868
614,9.96306e-10,-0.6933
615,9.97585e-10,-0.691574
616,9.96136e-10,-0.691142
617,9.96562e-10,-0.68913
618,9.98012e-10,-0.68985
619,9.99461e-10,-0.688698
620,9.94942e-10,-0.688267
621,9.97159e-10,-0.686543
622,9.95283e-10,-0.689418
623,9.96988e-10,-0.687692
624,9.9571e-10,-0.687549
625,9.96136e-10,-0.686543
626,9.975e-10,-0.68985
627,9.9912e-10,-0.690711
628,9.96988e-10,-0.69258
629,9.9733e-10,-0.693011
630,9.98012e-10,-0.69603
631,1.00014e-09,-0.703073
632,9.96306e-10,-0.713854
633,9.98012e-10,-0.721042
634,9.98437e-10,-0.727654
635,9.98523e-10,-0.734985
