,V1,currIn
505,1.17017,1.00256e-09
506,1.13855,1.00267e-09
507,1.11783,1.00198e-09
508,1.10643,1.00187e-09
509,1.10023,1.00179e-09
510,1.101,1.00119e-09
511,1.11488,1.00092e-09
512,1.1339,1.00071e-09
513,1.15883,1.00043e-09
514,1.18924,1.00009e-09
515,1.21889,1.00046e-09
516,1.23394,1.00106e-09
517,1.23877,1.00129e-09
518,1.23627,1.00107e-09
519,1.22149,1.00178e-09
520,1.2012,1.00213e-09
521,1.17598,1.00247e-09
522,1.14406,1.0029e-09
523,1.12122,1.00221e-09
524,1.10889,1.00212e-09
525,1.10192,1.0018e-09
526,1.1009,1.00163e-09
527,1.11316,1.00153e-09
528,1.13173,1.00094e-09
529,1.15508,1.00029e-09
530,1.18559,1.00022e-09
531,1.21557,1.00056e-09
532,1.23331,1.00093e-09
533,1.2395,1.00121e-09
534,1.23837,1.00169e-09
535,1.22516,1.00166e-09
536,1.20561,1.00204e-09
537,1.18117,1.00248e-09
538,1.14991,1.0026e-09
539,1.12476,1.00209e-09
540,1.11168,1.00211e-09
541,1.10347,1.00169e-09
542,1.10133,1.00168e-09
543,1.11174,1.00144e-09
544,1.12911,1.00082e-09
545,1.15225,1.00066e-09
546,1.18161,1.00014e-09
547,1.21225,1.0003e-09
548,1.23233,1.00076e-09
549,1.23975,1.00125e-09
550,1.24018,1.0014e-09
551,1.22885,1.00186e-09
552,1.2098,1.00204e-09
553,1.18605,1.00235e-09
554,1.15639,1.00274e-09
555,1.12828,1.00205e-09
556,1.11444,1.00207e-09
557,1.10544,1.002e-09
558,1.10188,1.00163e-09
559,1.10996,1.00096e-09
560,1.12706,1.00111e-09
561,1.14925,1.0006e-09
562,1.17727,1.0002e-09
563,1.20843,1.00024e-09
564,1.23109,1.00078e-09
565,1.23996,1.00117e-09
566,1.24157,1.00162e-09
567,1.23203,1.00168e-09
568,1.21378,1.00193e-09
569,1.191,1.00232e-09
570,1.16247,1.0029e-09
571,1.1322,1.00232e-09
572,1.11691,1.00191e-09
573,1.10725,1.00193e-09
574,1.10278,1.00187e-09
575,1.10898,1.00138e-09
576,1.12517,1.00116e-09
577,1.14621,1.00071e-09
578,1.17307,1.00037e-09
579,1.20481,1.00026e-09
580,1.22961,1.00089e-09
581,1.23983,1.00096e-09
582,1.24272,1.0013e-09
583,1.23549,1.00174e-09
584,1.21737,1.0018e-09
585,1.19577,1.00203e-09
586,1.16839,1.00285e-09
587,1.13733,1.00215e-09
588,1.1197,1.00214e-09
589,1.10985,1.0022e-09
590,1.10378,1.00154e-09
591,1.1077,1.00149e-09
592,1.12351,1.00117e-09
593,1.14348,1.00088e-09
594,1.1692,1.00049e-09
595,1.20078,1.00018e-09
596,1.2276,1.0005e-09
597,1.23942,1.00106e-09
598,1.2436,1.00129e-09
599,1.23842,1.00153e-09
600,1.22136,1.00199e-09
601,1.2005,1.00233e-09
602,1.17399,1.00255e-09
603,1.14235,1.00234e-09
604,1.12264,1.00195e-09
605,1.11201,1.00197e-09
606,1.10501,1.00168e-09
607,1.10698,1.00163e-09
608,1.12144,1.00113e-09
609,1.14085,1.00075e-09
610,1.16552,1.00033e-09
611,1.19666,1.00034e-09
612,1.22545,1.00053e-09
613,1.23917,1.00095e-09
614,1.24413,1.00129e-09
615,1.24074,1.0018e-09
616,1.22514,1.00163e-09
617,1.20488,1.00212e-09
618,1.17931,1.00258e-09
619,1.14739,1.00283e-09
620,1.12545,1.00202e-09
621,1.11402,1.0018e-09
622,1.10685,1.00172e-09
623,1.10648,1.0014e-09
624,1.11933,1.00109e-09
625,1.13858,1.00056e-09
626,1.16191,1.00057e-09
627,1.1922,1.00009e-09
628,1.22249,1.00026e-09
629,1.23852,1.00101e-09
630,1.24419,1.0014e-09
631,1.24301,1.00146e-09
632,1.22902,1.00184e-09
633,1.20883,1.00198e-09
634,1.18464,1.00234e-09
635,1.15331,1.00297e-09
636,1.12845,1.00222e-09
637,1.11624,1.00211e-09
638,1.10855,1.00193e-09
639,1.10635,1.00151e-09
640,1.11764,1.00087e-09
641,1.13574,1.00103e-09
642,1.15855,1.00066e-09
643,1.18815,9.99895e-10
644,1.21891,1.00036e-09
645,1.23758,1.00084e-09
646,1.24472,1.00099e-09
647,1.24456,1.00137e-09
648,1.23255,1.0018e-09
649,1.21304,1.00182e-09
650,1.18965,1.0023e-09
651,1.15883,1.00273e-09
652,1.1317,1.00204e-09
653,1.11852,1.00193e-09
654,1.10977,1.00179e-09
655,1.10662,1.00157e-09
656,1.11576,1.00129e-09
657,1.1336,1.00112e-09
658,1.15547,1.00077e-09
