,V1,currIn,v2
421,2.94147,1.00457e-09,-0.0680089
422,2.93499,1.00184e-09,-0.0902891
423,2.92824,1.00312e-09,-0.10179
424,2.92033,1.00457e-09,-0.117602
425,2.90969,1.00636e-09,-0.131547
426,2.90466,1.00585e-09,-0.149517
427,2.90207,1.00304e-09,-0.162742
428,2.89747,1.00474e-09,-0.176828
429,2.88194,1.00593e-09,-0.198247
430,2.8746,1.0061e-09,-0.216649
431,2.86669,1.0038e-09,-0.236917
432,2.85979,1.00679e-09,-0.24971
433,2.84858,1.00849e-09,-0.270698
434,2.83506,1.00713e-09,-0.296431
435,2.82313,1.00926e-09,-0.32475
436,2.80976,1.01028e-09,-0.354793
437,2.79667,1.00431e-09,-0.37693
438,2.78761,1.00645e-09,-0.398638
439,2.77942,1.00491e-09,-0.413876
440,2.77323,1.00645e-09,-0.435007
441,2.76216,1.00883e-09,-0.453694
442,2.75814,1.00593e-09,-0.478275
443,2.74548,1.00338e-09,-0.494375
444,2.73772,1.00534e-09,-0.515938
445,2.72722,1.00244e-09,-0.531752
446,2.72363,1.00423e-09,-0.550151
447,2.7173,1.00133e-09,-0.563233
448,2.71486,9.97919e-10,-0.570276
449,2.71255,1.00073e-09,-0.571859
450,2.71255,9.9681e-10,-0.578327
451,2.71356,9.96896e-10,-0.582783
452,2.71543,9.94594e-10,-0.579908
453,2.71672,9.97578e-10,-0.57919
454,2.71931,9.94849e-10,-0.571427
455,2.72219,9.92461e-10,-0.571282
456,2.72377,9.96385e-10,-0.569701
457,2.72708,9.97407e-10,-0.563664
458,2.72895,9.97748e-10,-0.562084
459,2.73312,9.94679e-10,-0.557339
460,2.73441,9.94338e-10,-0.554321
461,2.73685,9.92718e-10,-0.551302
462,2.74203,9.93911e-10,-0.545406
463,2.74361,9.91609e-10,-0.541813
464,2.7508,9.91354e-10,-0.536351
465,2.75454,9.9664e-10,-0.53247
466,2.75526,9.95361e-10,-0.523126
467,2.75914,9.94679e-10,-0.515938
468,2.76504,9.91098e-10,-0.505588
469,2.77194,9.89904e-10,-0.497682
470,2.7764,9.87772e-10,-0.490351
471,2.79322,9.86322e-10,-0.472238
472,2.80472,9.85299e-10,-0.449955
473,2.81407,9.87772e-10,-0.425949
474,2.8237,9.8888e-10,-0.409563
475,2.83794,9.87772e-10,-0.396049
476,2.84757,9.85213e-10,-0.372331
477,2.86051,9.83934e-10,-0.34775
478,2.87374,9.84532e-10,-0.321155
479,2.8851,9.84788e-10,-0.302036
480,2.89617,9.87942e-10,-0.282917
481,2.90437,9.91012e-10,-0.266385
482,2.91774,9.88113e-10,-0.244823
483,2.92507,9.85556e-10,-0.227573
484,2.9373,9.85299e-10,-0.205579
485,2.94635,9.88283e-10,-0.188186
486,2.96289,9.86238e-10,-0.166335
487,2.97094,9.84617e-10,-0.148365
488,2.98201,9.84617e-10,-0.126946
489,2.99093,9.88455e-10,-0.106821
490,2.99999,9.90757e-10,-0.0905776
491,3.01091,9.86493e-10,-0.0739026
492,3.024,9.82144e-10,-0.0491762
493,3.03852,9.84361e-10,-0.0270391
494,3.05089,9.8547e-10,-0.0061965
495,3.05908,9.82741e-10,0.0133514
496,3.07044,9.83082e-10,0.03865
497,3.08525,9.84617e-10,0.0719953
498,3.10567,9.78904e-10,0.0991631
499,3.12206,9.77881e-10,0.132942
500,3.14047,9.81377e-10,0.159101
501,3.15226,9.8385e-10,0.190005
502,3.16203,9.83509e-10,0.210559
503,3.1744,9.85299e-10,0.235569
504,3.18921,9.84277e-10,0.256269
505,3.20143,9.86834e-10,0.282142
506,3.21567,9.84277e-10,0.307152
507,3.22602,9.8564e-10,0.332305
508,3.23867,9.8547e-10,0.354297
509,3.24744,9.8709e-10,0.371978
510,3.25909,9.87601e-10,0.390952
511,3.26571,9.89221e-10,0.404174
512,3.26757,9.92461e-10,0.414667
513,3.27246,9.90671e-10,0.421999
