,Time,V1,currIn
609,6.09,3.25536,1.00163e-09
610,6.1,3.25612,1.00182e-09
611,6.11,3.25603,1.00077e-09
612,6.12,3.25641,1.0014e-09
613,6.13,3.25729,1.00099e-09
614,6.14,3.25877,1.00278e-09
615,6.15,3.25754,1.00261e-09
616,6.16,3.25732,1.00198e-09
617,6.17,3.25629,1.0008e-09
618,6.18,3.25849,1.00022e-09
619,6.19,3.25767,1.00178e-09
620,6.2,3.2566,1.00029e-09
621,6.21,3.25683,1.00222e-09
622,6.22,3.25638,1.00076e-09
623,6.23,3.25611,1.00215e-09
624,6.24,3.25606,1.00099e-09
625,6.25,3.25724,1.002e-09
626,6.26,3.25632,1.00114e-09
627,6.27,3.25501,9.99213e-10
628,6.28,3.25986,1.00205e-09
629,6.29,3.2591,1.002e-09
630,6.3,3.25892,1.00235e-09
631,6.31,3.25598,1.00233e-09
632,6.32,3.2552,1.00245e-09
633,6.33,3.25677,1.00023e-09
634,6.34,3.25477,1.00267e-09
635,6.35,3.257,1.00232e-09
636,6.36,3.25828,9.99631e-10
637,6.37,3.25723,1.00295e-09
638,6.38,3.25622,1.00046e-09
639,6.39,3.25637,1.00063e-09
640,6.4,3.25973,1.00217e-09
641,6.41,3.25776,1.00314e-09
642,6.42,3.25632,1.00115e-09
643,6.43,3.25473,1.00177e-09
644,6.44,3.25599,1.00072e-09
645,6.45,3.25688,1.00153e-09
646,6.46,3.25591,1.00204e-09
647,6.47,3.25591,1.00022e-09
648,6.48,3.25572,1.00073e-09
649,6.49,3.25639,1.00103e-09
650,6.5,3.25779,1.00133e-09
651,6.51,3.25616,1.00077e-09
652,6.52,3.25605,9.99546e-10
653,6.53,3.25921,1.00155e-09
654,6.54,3.2572,1.00001e-09
655,6.55,3.25882,1.00267e-09
656,6.56,3.25589,9.99213e-10
657,6.57,3.25586,1.00015e-09
658,6.58,3.25461,1.00111e-09
659,6.59,3.25618,1.00014e-09
660,6.6,3.2575,1.00227e-09
661,6.61,3.2555,1.00047e-09
662,6.62,3.2593,1.00195e-09
663,6.63,3.25578,1.00015e-09
664,6.64,3.25513,1.00054e-09
665,6.65,3.25747,1.00053e-09
666,6.66,3.25891,1.00314e-09
667,6.67,3.25645,1.00107e-09
668,6.68,3.25907,1.00019e-09
669,6.69,3.25753,1.00161e-09
670,6.7,3.25734,1.00116e-09
671,6.71,3.25802,1.00132e-09
672,6.72,3.2547,9.99861e-10
673,6.73,3.25536,1.00058e-09
674,6.74,3.25703,1.00275e-09
675,6.75,3.25802,1.00121e-09
676,6.76,3.25588,1.0029e-09
677,6.77,3.25706,1.00197e-09
678,6.78,3.2581,1.00204e-09
679,6.79,3.25773,1.00093e-09
680,6.8,3.25723,1.00244e-09
681,6.81,3.25767,1.00258e-09
682,6.82,3.2555,9.99955e-10
683,6.83,3.2552,1.00227e-09
684,6.84,3.25557,1.00069e-09
685,6.85,3.2555,1.00129e-09
686,6.86,3.25619,1.00189e-09
687,6.87,3.25596,1.00182e-09
688,6.88,3.25713,1.00161e-09
689,6.89,3.25649,1.00073e-09
690,6.9,3.25802,1.0008e-09
691,6.91,3.25835,1.00212e-09
692,6.92,3.25638,1.00137e-09
693,6.93,3.25729,1.00123e-09
694,6.94,3.2589,1.00243e-09
695,6.95,3.25754,1.00061e-09
696,6.96,3.25813,1.00055e-09
697,6.97,3.25717,1.00096e-09
698,6.98,3.25828,1.00112e-09
699,6.99,3.25722,1.00273e-09
700,7.0,3.25539,1.00076e-09
701,7.01,3.25841,1.00257e-09
702,7.02,3.25454,1.00163e-09
703,7.03,3.25908,1.00178e-09
704,7.04,3.2551,1.00012e-09
705,7.05,3.2588,1.00138e-09
706,7.06,3.25849,1.00053e-09
707,7.07,3.25585,9.99579e-10
708,7.08,3.25846,1.00023e-09
709,7.09,3.25638,1.00075e-09
710,7.1,3.25578,1.00158e-09
711,7.11,3.25631,1.00299e-09
712,7.12,3.25723,1.00129e-09
713,7.13,3.25776,1.00044e-09
714,7.14,3.25806,1.00021e-09
715,7.15,3.26015,1.0026e-09
716,7.16,3.25763,1.00114e-09
717,7.17,3.25753,9.98914e-10
718,7.18,3.26005,1.00286e-09
719,7.19,3.25638,9.99588e-10
720,7.2,3.25718,1.00013e-09
721,7.21,3.25578,1.00061e-09
722,7.22,3.2573,1.00009e-09
723,7.23,3.25523,1.00162e-09
724,7.24,3.25407,1.00106e-09
725,7.25,3.25714,1.00159e-09
726,7.26,3.25588,1.00025e-09
727,7.27,3.25638,1.00041e-09
728,7.28,3.25855,1.0001e-09
729,7.29,3.2575,1.00114e-09
730,7.3,3.25693,1.00185e-09
731,7.31,3.25722,1.00222e-09
732,7.32,3.25603,1.00255e-09
733,7.33,3.25611,1.00007e-09
734,7.34,3.25687,1.00131e-09
