,Row 1
933,1.08994
934,1.08635
935,1.09411
936,1.09339
937,1.09454
938,1.09598
939,1.09598
940,1.09857
941,1.1013
942,1.10245
943,1.10115
944,1.10489
945,1.10173
946,1.10072
947,1.09957
948,1.09871
949,1.09799
950,1.09584
951,1.09555
952,1.09598
953,1.09124
954,1.08822
955,1.08994
956,1.08664
957,1.0875
958,1.08534
959,1.08333
960,1.0829
961,1.08477
962,1.08434
963,1.08362
964,1.08592
965,1.0829
966,1.08922
967,1.08922
968,1.09152
969,1.09584
970,1.09282
971,1.09411
972,1.09857
973,1.09928
974,1.09871
975,1.09986
976,1.10187
977,1.10489
978,1.10503
979,1.1013
980,1.09957
981,1.10187
982,1.10058
983,1.0977
984,1.09411
985,1.09224
986,1.09267
987,1.0885
988,1.08793
989,1.08894
990,1.08333
991,1.08103
992,1.08491
993,1.08218
994,1.08549
995,1.08463
996,1.08391
997,1.08563
998,1.08922
999,1.08822
1000,1.08994
1001,1.09195
1002,1.08951
1003,1.09454
1004,1.09526
1005,1.09598
1006,1.09699
1007,1.09584
1008,1.10015
1009,1.10345
1010,1.10101
1011,1.10202
1012,1.10173
1013,1.10101
1014,1.10273
1015,1.10345
1016,1.09785
1017,1.09684
1018,1.09612
1019,1.09253
1020,1.09138
1021,1.08922
1022,1.08649
1023,1.08649
1024,1.08218
1025,1.08434
1026,1.08362
1027,1.0806
1028,1.08103
1029,1.08348
1030,1.08506
1031,1.08649
1032,1.08649
1033,1.09023
1034,1.09224
1035,1.09497
1036,1.09426
1037,1.09598
1038,1.09842
1039,1.09799
1040,1.10288
1041,1.09813
1042,1.10158
1043,1.1023
1044,1.10015
1045,1.10015
1046,1.1
1047,1.09928
1048,1.09957
1049,1.09972
1050,1.0954
1051,1.09655
1052,1.0921
1053,1.09138
1054,1.0898
1055,1.08879
1056,1.0875
1057,1.08692
1058,1.08376
1059,1.08376
1060,1.08405
1061,1.08161
1062,1.0829
1063,1.08261
1064,1.08376
1065,1.08793
1066,1.08894
1067,1.08822
1068,1.09167
1069,1.09195
1070,1.09354
1071,1.09627
1072,1.09713
1073,1.09742
1074,1.10072
1075,1.1013
1076,1.10446
1077,1.10475
1078,1.099
1079,1.1023
1080,1.10173
1081,1.10015
1082,1.10202
1083,1.09813
1084,1.09483
1085,1.09612
1086,1.09181
1087,1.09124
1088,1.08951
1089,1.08577
1090,1.08549
1091,1.08621
1092,1.08434
1093,1.08434
1094,1.08261
1095,1.08161
1096,1.08549
1097,1.08865
1098,1.08448
1099,1.08836
1100,1.08807
1101,1.09109
1102,1.09483
1103,1.09325
1104,1.0944
1105,1.09699
1106,1.09785
1107,1.09828
1108,1.10015
1109,1.10086
1110,1.10158
1111,1.10158
1112,1.10101
1113,1.1013
1114,1.10216
1115,1.0967
1116,1.09943
1117,1.09627
1118,1.09325
1119,1.09382
1120,1.09081
1121,1.08994
1122,1.08793
1123,1.08707
1124,1.08419
1125,1.08419
1126,1.08103
1127,1.08146
1128,1.08276
1129,1.08419
1130,1.08448
1131,1.08549
1132,1.08592
1133,1.08894
1134,1.08966
1135,1.08951
1136,1.09454
1137,1.09426
1138,1.09756
1139,1.10015
1140,1.09914
1141,1.10029
1142,1.10345
1143,1.10173
1144,1.10058
1145,1.1023
1146,1.09986
1147,1.10173
1148,1.10101
1149,1.0977
1150,1.09957
1151,1.09195
1152,1.08994
1153,1.0931
1154,1.09109
1155,1.08879
1156,1.0875
1157,1.08463
1158,1.08692
1159,1.08563
1160,1.0806
1161,1.08204
1162,1.08592
1163,1.08664
1164,1.08692
1165,1.08477
1166,1.08635
1167,1.09095
1168,1.08994
1169,1.09095
1170,1.09426
1171,1.0944
1172,1.09497
1173,1.1
1174,1.09742
1175,1.10403
1176,1.10317
1177,1.10086
1178,1.10101
1179,1.10374
1180,1.10259
1181,1.10158
1182,1.09986
1183,1.0954
1184,1.09641
1185,1.09497
1186,1.09081
1187,1.08779
1188,1.08577
1189,1.08779
1190,1.08736
1191,1.08232
1192,1.08218
1193,1.08146
1194,1.08232
1195,1.08549
1196,1.08606
1197,1.08592
1198,1.08692
1199,1.08879
1200,1.08994
1201,1.0921
