# sweep_type: output
# time: 1675699413.7879877
# time_str: 06/02/2023 11:03
# t_int: 0.001
# delay: -1
# pulsed: False
# Drain voltage [V],Source current (Vg = 4.0) [A],Drain current (Vg = 4.0) [A],Gate current (Vg = 4.0) [A],Source current (Vg = 5.0) [A],Drain current (Vg = 5.0) [A],Gate current (Vg = 5.0) [A],Source current (Vg = 6.0) [A],Drain current (Vg = 6.0) [A],Gate current (Vg = 6.0) [A],Source current (Vg = 7.0) [A],Drain current (Vg = 7.0) [A],Gate current (Vg = 7.0) [A],Source current (Vg = 8.0) [A],Drain current (Vg = 8.0) [A],Gate current (Vg = 8.0) [A],Source current (Vg = 9.0) [A],Drain current (Vg = 9.0) [A],Gate current (Vg = 9.0) [A],Source current (Vg = 10.0) [A],Drain current (Vg = 10.0) [A],Gate current (Vg = 10.0) [A]
9.500000000000000000e+00,3.510769999999999863e-04,2.104519999999999969e-04,1.406249999999999894e-04,6.327959000000001055e-04,5.942389999999999868e-05,5.733720000000000526e-04,7.402510000000000383e-04,1.610949999999999882e-04,5.791560000000000501e-04,8.586979999999999700e-04,2.708289999999999916e-04,5.878689999999999784e-04,9.779710000000000052e-04,3.862590000000000164e-04,5.917119999999999888e-04,1.110139999999999912e-03,5.084199999999999874e-04,6.017200000000000326e-04,1.166147000000000190e-03,5.562940000000000376e-04,6.098530000000000444e-04
9.600000000000001421e+00,3.441740000000000424e-04,2.123670000000000082e-04,1.318070000000000071e-04,6.363535000000000458e-04,6.192950000000000397e-05,5.744240000000000283e-04,7.406539999999999868e-04,1.616599999999999938e-04,5.789939999999999930e-04,8.607960000000000438e-04,2.730349999999999769e-04,5.877610000000000126e-04,9.796480000000000639e-04,3.879539999999999790e-04,5.916940000000000307e-04,1.107696999999999935e-03,5.085940000000000166e-04,5.991030000000000270e-04,1.182514999999999868e-03,5.714200000000000008e-04,6.110949999999999759e-04
9.700000000000001066e+00,3.367970000000000078e-04,2.137770000000000100e-04,1.230199999999999978e-04,1.028807000000000072e-03,5.240779999999999788e-04,5.047289999999999850e-04,7.411559999999999763e-04,1.623039999999999965e-04,5.788520000000000340e-04,8.592940000000000300e-04,2.734179999999999900e-04,5.858760000000000400e-04,9.808020000000000193e-04,3.891529999999999924e-04,5.916489999999999727e-04,1.107357000000000003e-03,5.093709999999999991e-04,5.979860000000000037e-04,1.199561000000000030e-03,5.869259999999999842e-04,6.126350000000000458e-04
9.800000000000000711e+00,3.290939999999999903e-04,2.149130000000000072e-04,1.141809999999999966e-04,7.348230000000000083e-04,5.250629999999999837e-04,2.097599999999999975e-04,7.414089999999999483e-04,1.625540000000000025e-04,5.788549999999999729e-04,8.611730000000000166e-04,2.763789999999999910e-04,5.847940000000000256e-04,9.815309999999998966e-04,3.896150000000000026e-04,5.919159999999999483e-04,1.110514999999999853e-03,5.127369999999999801e-04,5.977779999999999812e-04,1.213872999999999862e-03,6.028929999999999619e-04,6.109800000000000083e-04
9.900000000000000355e+00,3.213250000000000177e-04,2.159259999999999923e-04,1.053989999999999983e-04,7.258239999999999137e-04,5.246899999999999654e-04,2.011340000000000025e-04,7.430579999999999997e-04,1.638450000000000008e-04,5.792129999999999718e-04,8.617279999999999732e-04,2.766220000000000224e-04,5.851059999999999508e-04,9.824960000000000204e-04,3.905259999999999808e-04,5.919700000000000396e-04,1.110780000000000014e-03,5.127969999999999490e-04,5.979829999999999564e-04,1.224869999999999865e-03,6.208379999999999671e-04,6.040320000000000064e-04
1.000000000000000000e+01,3.138080999999999813e-04,2.169460000000000062e-04,9.686210000000000219e-05,7.092590000000000613e-04,5.166110000000000450e-04,1.926479999999999892e-04,7.443940000000000019e-04,1.647920000000000038e-04,5.796020000000000252e-04,8.635640000000000416e-04,2.779680000000000193e-04,5.855959999999999681e-04,9.838469999999999334e-04,3.923320000000000106e-04,5.915150000000000312e-04,1.111646999999999896e-03,5.137370000000000044e-04,5.979099999999999996e-04,1.235048999999999999e-03,6.319459999999999834e-04,6.031030000000000158e-04
1.000000000000000000e+01,2.919350000000000027e-04,1.940710000000000059e-04,9.786399999999999678e-05,6.787590000000000246e-04,4.845660000000000223e-04,1.941930000000000023e-04,7.431560000000000249e-04,1.647130000000000068e-04,5.784429999999999910e-04,8.641070000000000261e-04,2.793389999999999762e-04,5.847680000000000499e-04,9.834099999999998832e-04,3.918449999999999863e-04,5.915649999999999511e-04,1.112010000000000082e-03,5.140840000000000470e-04,5.979260000000000347e-04,1.233396999999999792e-03,6.302909999999999459e-04,6.031059999999999546e-04
9.900000000000000355e+00,2.872220000000000090e-04,1.793049999999999917e-04,1.079170000000000037e-04,6.775559999999999482e-04,4.737809999999999960e-04,2.037750000000000065e-04,7.426380000000000004e-04,1.641059999999999904e-04,5.785319999999999829e-04,8.625030000000000327e-04,2.766420000000000120e-04,5.858610000000000206e-04,9.819510000000000044e-04,3.905720000000000003e-04,5.913789999999999498e-04,1.111056999999999930e-03,5.133680000000000491e-04,5.976889999999999894e-04,1.224012000000000017e-03,6.211199999999999621e-04,6.028919999999999462e-04
9.800000000000000711e+00,2.921879999999999747e-04,1.749330000000000004e-04,1.172550000000000014e-04,6.820250000000000574e-04,4.692000000000000207e-04,2.128250000000000096e-04,7.415010000000000958e-04,1.626080000000000125e-04,5.788930000000000291e-04,8.596130000000000654e-04,2.743150000000000189e-04,5.852980000000000465e-04,9.826789999999999744e-04,3.907639999999999877e-04,5.919150000000000409e-04,1.110114000000000153e-03,5.121830000000000393e-04,5.979310000000000050e-04,1.206510999999999955e-03,6.036249999999999949e-04,6.028859999999999601e-04
9.700000000000001066e+00,3.050579999999999785e-04,1.797849999999999871e-04,1.252729999999999913e-04,6.879679999999999563e-04,4.662240000000000004e-04,2.217440000000000101e-04,7.420410000000000330e-04,1.618389999999999933e-04,5.802020000000000398e-04,8.592140000000000714e-04,2.734890000000000237e-04,5.857250000000000477e-04,9.833240000000000470e-04,3.894459999999999979e-04,5.938780000000000491e-04,1.108421999999999966e-03,5.103300000000000284e-04,5.980920000000000463e-04,1.190725000000000117e-03,5.878430000000000027e-04,6.028820000000000056e-04
