# sweep_type: output
# time: 1675794444.9321156
# time_str: 07/02/2023 13:27
# t_int: 1.6666666666666667e-05
# delay: 0.1
# pulsed: False
# Drain voltage [V],Source current (Vg = 1) [A],Drain current (Vg = 1) [A],Gate current (Vg = 1) [A]
7.100000000000000533e+00,7.056108949999999899e-05,7.052929999999999573e-05,3.178950000000000153e-08
7.200000000000000178e+00,7.099105319999999999e-05,7.096169999999999518e-05,2.935319999999999910e-08
7.300000000000000711e+00,7.068210080000000503e-05,7.065220000000000094e-05,2.990079999999999998e-08
7.400000000000000355e+00,7.031683030000000095e-05,7.028760000000000108e-05,2.923030000000000069e-08
7.500000000000000000e+00,7.076347659999999832e-05,7.073699999999999715e-05,2.647660000000000099e-08
7.600000000000000533e+00,7.000890729999999370e-05,6.998239999999999593e-05,2.650730000000000006e-08
7.700000000000000178e+00,7.110541270000000609e-05,7.108040000000000473e-05,2.501270000000000070e-08
7.800000000000000711e+00,7.148993830000000015e-05,7.146619999999999687e-05,2.373830000000000022e-08
7.900000000000000355e+00,7.102696809999999342e-05,7.100409999999999328e-05,2.286809999999999882e-08
8.000000000000000000e+00,7.125276350000000005e-05,7.122880000000000487e-05,2.396350000000000147e-08
8.099999999999999645e+00,7.199694680000000725e-05,7.197500000000000122e-05,2.194680000000000035e-08
8.200000000000001066e+00,7.210666569999999744e-05,7.208519999999999891e-05,2.146569999999999878e-08
8.300000000000000711e+00,7.133919399999999987e-05,7.131779999999999673e-05,2.139399999999999953e-08
8.400000000000000355e+00,7.157113490000000747e-05,7.155100000000000663e-05,2.013489999999999920e-08
8.500000000000000000e+00,7.172722620000000098e-05,7.170790000000000508e-05,1.932620000000000136e-08
8.599999999999999645e+00,7.263904860000000802e-05,7.261940000000000474e-05,1.964860000000000099e-08
8.700000000000001066e+00,7.149339659999999421e-05,7.147469999999999518e-05,1.869660000000000014e-08
8.800000000000000711e+00,7.262885450000001086e-05,7.261090000000000643e-05,1.795450000000000040e-08
8.900000000000000355e+00,7.158675289999999686e-05,7.156800000000000325e-05,1.875290000000000045e-08
9.000000000000000000e+00,7.315074859999999839e-05,7.313240000000000474e-05,1.834859999999999928e-08
9.099999999999999645e+00,7.302660720000001232e-05,7.300940000000000608e-05,1.720720000000000072e-08
9.200000000000001066e+00,7.364136860000000488e-05,7.362410000000000547e-05,1.726859999999999887e-08
9.300000000000000711e+00,7.350059850000000494e-05,7.348420000000000364e-05,1.639849999999999957e-08
9.400000000000000355e+00,7.409324640000000976e-05,7.407780000000000419e-05,1.544639999999999993e-08
9.500000000000000000e+00,7.367317280000000091e-05,7.365809999999999871e-05,1.507280000000000114e-08
9.600000000000001421e+00,7.394858579999999718e-05,7.393359999999999971e-05,1.498579999999999844e-08
9.700000000000001066e+00,7.326500070000000538e-05,7.325110000000000074e-05,1.390070000000000019e-08
9.800000000000000711e+00,7.495260269999999797e-05,7.493839999999999388e-05,1.420270000000000018e-08
9.900000000000000355e+00,7.433797940000000111e-05,7.432369999999999450e-05,1.427940000000000013e-08
1.000000000000000000e+01,7.448896200000000058e-05,7.447630000000000385e-05,1.266199999999999950e-08
