,VoltIn,VpwrIn000,CurrOut001,VpwrIn001,CurrOut002,VpwrIn002,CurrOut003,VpwrIn003,CurrOut004,VpwrIn004,CurrOut005,VpwrIn005,CurrOut006,VpwrIn006,CurrOut007,VpwrIn007,CurrOut008
51,5.19949,3.0,0.0168,4.0,0.1625,5.0,0.4462,6.0,0.5273,7.0,0.5490999999999999,8.0,0.5645,9.0,0.5804,10.0,0.6002
52,5.29956,3.0,0.0168,4.0,0.1626,5.0,0.4496,6.0,0.5396,7.0,0.5622,8.0,0.5781000000000001,9.0,0.5944,10.0,0.6147
53,5.3995,3.0,0.0168,4.0,0.1627,5.0,0.4523,6.0,0.5517,7.0,0.5753,8.0,0.5916,9.0,0.6083,10.0,0.6291
54,5.49954,3.0,0.016900000000000002,4.0,0.1628,5.0,0.4541,6.0,0.5638000000000001,7.0,0.5884,8.0,0.6052,9.0,0.6223,10.0,0.6435
55,5.59941,3.0,0.016900000000000002,4.0,0.163,5.0,0.4555,6.0,0.5759,7.0,0.6013999999999999,8.0,0.6188,9.0,0.6363,10.0,0.6579
56,5.6996,3.0,0.016900000000000002,4.0,0.163,5.0,0.45649999999999996,6.0,0.5879,7.0,0.6145,8.0,0.6324,9.0,0.6503,10.0,0.6724
57,5.79937,3.0,0.016900000000000002,4.0,0.1631,5.0,0.4572,6.0,0.5998,7.0,0.6275999999999999,8.0,0.6459,9.0,0.6642,10.0,0.6868
58,5.89957,3.0,0.016900000000000002,4.0,0.1633,5.0,0.45780000000000004,6.0,0.6118,7.0,0.6407,8.0,0.6595000000000001,9.0,0.6782999999999999,10.0,0.7012999999999999
59,5.99937,3.0,0.016900000000000002,4.0,0.1634,5.0,0.45830000000000004,6.0,0.6237,7.0,0.6537000000000001,8.0,0.6731,9.0,0.6922999999999999,10.0,0.7157
60,6.09946,3.0,0.016900000000000002,4.0,0.1634,5.0,0.4588,6.0,0.6355,7.0,0.6668000000000001,8.0,0.6867000000000001,9.0,0.7062999999999999,10.0,0.7302
61,6.19966,3.0,0.016900000000000002,4.0,0.1636,5.0,0.4593,6.0,0.6473,7.0,0.6799,8.0,0.7002999999999999,9.0,0.7203,10.0,0.7447
62,6.29947,3.0,0.016900000000000002,4.0,0.16369999999999998,5.0,0.4597,6.0,0.6589,7.0,0.6929,8.0,0.7139,9.0,0.7342,10.0,0.7592
63,6.39956,3.0,0.016900000000000002,4.0,0.1638,5.0,0.46030000000000004,6.0,0.6706000000000001,7.0,0.7060000000000001,8.0,0.7274999999999999,9.0,0.7482,10.0,0.7736999999999999
64,6.49938,3.0,0.016900000000000002,4.0,0.1639,5.0,0.46059999999999995,6.0,0.6821,7.0,0.719,8.0,0.741,9.0,0.7622,10.0,0.7881
65,6.5995,3.0,0.016900000000000002,4.0,0.164,5.0,0.4611,6.0,0.6935,7.0,0.732,8.0,0.7546999999999999,9.0,0.7762,10.0,0.8026
66,6.69939,3.0,0.016900000000000002,4.0,0.1641,5.0,0.4615,6.0,0.7048,7.0,0.7448999999999999,8.0,0.7682,9.0,0.7902,10.0,0.8170000000000001
67,6.79946,3.0,0.017,4.0,0.1642,5.0,0.4618,6.0,0.716,7.0,0.7579,8.0,0.7818,9.0,0.8042,10.0,0.8315
68,6.89933,3.0,0.017,4.0,0.1643,5.0,0.4622,6.0,0.7272,7.0,0.7709,8.0,0.7953,9.0,0.8182,10.0,0.8459
69,6.99952,3.0,0.017,4.0,0.1643,5.0,0.4625,6.0,0.7382000000000001,7.0,0.7839,8.0,0.8089,9.0,0.8321999999999999,10.0,0.8605
70,7.0993,3.0,0.017,4.0,0.16440000000000002,5.0,0.4629,6.0,0.7491000000000001,7.0,0.7967,8.0,0.8224,9.0,0.8462,10.0,0.8748
71,7.19949,3.0,0.017,4.0,0.16449999999999998,5.0,0.4633,6.0,0.7596999999999999,7.0,0.8097,8.0,0.8360000000000001,9.0,0.8602,10.0,0.8894000000000001
72,7.29925,3.0,0.017,4.0,0.1646,5.0,0.4636,6.0,0.7703,7.0,0.8226,8.0,0.8496,9.0,0.8742,10.0,0.9037999999999999
73,7.3994,3.0,0.017,4.0,0.1648,5.0,0.464,6.0,0.7807,7.0,0.8355,8.0,0.8631,9.0,0.8881,10.0,0.9182
74,7.49932,3.0,0.0171,4.0,0.1648,5.0,0.4643,6.0,0.7908000000000001,7.0,0.8484,8.0,0.8767,9.0,0.9021,10.0,0.9326
75,7.59945,3.0,0.0171,4.0,0.1649,5.0,0.4646,6.0,0.8007,7.0,0.8612,8.0,0.8902,9.0,0.9161,10.0,0.9470999999999999
76,7.69959,3.0,0.0171,4.0,0.1649,5.0,0.46490000000000004,6.0,0.8103,7.0,0.8741000000000001,8.0,0.9037000000000001,9.0,0.9301,10.0,0.9616
77,7.79943,3.0,0.0171,4.0,0.1651,5.0,0.4652,6.0,0.8196,7.0,0.8869,8.0,0.9173,9.0,0.944,10.0,0.976
78,7.89948,3.0,0.0171,4.0,0.1651,5.0,0.46549999999999997,6.0,0.8286,7.0,0.8996,8.0,0.9307,9.0,0.958,10.0,0.9905
79,7.99938,3.0,0.0171,4.0,0.1652,5.0,0.4658,6.0,0.8371999999999999,7.0,0.9123,8.0,0.9443,9.0,0.972,10.0,1.0049
80,8.09951,3.0,0.0171,4.0,0.1653,5.0,0.4661,6.0,0.8452000000000001,7.0,0.9251,8.0,0.9577,9.0,0.9859000000000001,10.0,1.0192999999999999
81,8.19938,3.0,0.0171,4.0,0.16540000000000002,5.0,0.4664,6.0,0.8527,7.0,0.9378000000000001,8.0,0.9712,9.0,0.9999,10.0,1.0337
