# sweep_type: output
# time: 1675792457.5683117
# time_str: 07/02/2023 12:54
# t_int: 1.6666666666666667e-05
# delay: 0.1
# pulsed: False
# Drain voltage [V],Source current (Vg = 0.0) [A],Drain current (Vg = 0.0) [A],Gate current (Vg = 0.0) [A],Source current (Vg = 1.0) [A],Drain current (Vg = 1.0) [A],Gate current (Vg = 1.0) [A],Source current (Vg = 2.0) [A],Drain current (Vg = 2.0) [A],Gate current (Vg = 2.0) [A],Source current (Vg = 3.0) [A],Drain current (Vg = 3.0) [A],Gate current (Vg = 3.0) [A],Source current (Vg = 4.0) [A],Drain current (Vg = 4.0) [A],Gate current (Vg = 4.0) [A],Source current (Vg = 5.0) [A],Drain current (Vg = 5.0) [A],Gate current (Vg = 5.0) [A]
2.000000000000000000e+00,1.445903200000000091e-08,2.235319999999999939e-10,1.423550000000000032e-08,6.436202637999999590e-05,6.436080000000000219e-05,1.226380000000000060e-09,7.118028882999999493e-04,7.117869999999999666e-04,1.588829999999999941e-08,1.891639938088900044e-03,1.891639999999999988e-03,-6.191109999999999779e-11,3.223190557698999738e-03,3.223189999999999909e-03,5.576990000000000404e-10,4.430356772710000030e-03,4.430350000000000434e-03,6.772709999999999869e-09
2.100000000000000089e+00,1.397221600000000034e-08,2.023159999999999970e-10,1.376989999999999977e-08,6.540313140000000869e-05,6.533900000000000580e-05,6.413140000000000211e-08,7.129448497999999780e-04,7.129299999999999657e-04,1.484979999999999974e-08,1.898019932911800033e-03,1.898020000000000046e-03,-6.708820000000000569e-11,3.286430561539999736e-03,3.286429999999999907e-03,5.615400000000000068e-10,4.559446844329999998e-03,4.559439999999999674e-03,6.844330000000000083e-09
2.200000000000000178e+00,1.207609900000000020e-08,1.842989999999999909e-10,1.189180000000000065e-08,6.558942420000000821e-05,6.552960000000000360e-05,5.982420000000000441e-08,7.175603229000000402e-04,7.175460000000000041e-04,1.432289999999999983e-08,1.903609810331000117e-03,1.903610000000000024e-03,-1.896689999999999941e-10,3.350110569055999698e-03,3.350109999999999894e-03,5.690559999999999631e-10,4.679506834609999978e-03,4.679499999999999632e-03,6.834610000000000245e-09
2.300000000000000266e+00,1.101911299999999890e-08,1.661130000000000084e-10,1.085299999999999964e-08,6.556456649999999736e-05,6.550420000000000212e-05,6.036649999999999994e-08,7.176026527000000776e-04,7.175890000000000307e-04,1.365270000000000022e-08,1.908769799975999987e-03,1.908769999999999955e-03,-2.000240000000000064e-10,3.387540568722000132e-03,3.387540000000000082e-03,5.687219999999999930e-10,4.790526860700000666e-03,4.790520000000000368e-03,6.860699999999999687e-09
2.400000000000000355e+00,1.016331199999999994e-08,1.496120000000000051e-10,1.001369999999999986e-08,6.590702419999999988e-05,6.584719999999999527e-05,5.982420000000000441e-08,7.194655759999999452e-04,7.194519999999999822e-04,1.357600000000000027e-08,1.911779793964000183e-03,1.911780000000000077e-03,-2.060360000000000111e-10,3.428850570392000339e-03,3.428850000000000214e-03,5.703920000000000503e-10,4.888646887819999773e-03,4.888639999999999652e-03,6.887819999999999899e-09
2.500000000000000000e+00,-2.484097000000000009e-09,1.317629999999999926e-10,-2.615860000000000105e-09,6.629133479999999923e-05,6.623679999999999575e-05,5.453480000000000073e-08,7.192948929999999977e-04,7.192830000000000317e-04,1.189299999999999936e-08,1.926409785279999901e-03,1.926409999999999928e-03,-2.147200000000000092e-10,3.458100570225000007e-03,3.458099999999999976e-03,5.702249999999999618e-10,4.982886870930000600e-03,4.982880000000000295e-03,6.870929999999999971e-09
2.600000000000000089e+00,2.306391370000000121e-08,-3.998629999999999896e-11,2.310390000000000084e-08,6.597522860000000445e-05,6.591920000000000407e-05,5.602860000000000316e-08,7.203534274000000142e-04,7.203420000000000092e-04,1.142740000000000047e-08,1.930709777765000044e-03,1.930709999999999978e-03,-2.222350000000000086e-10,3.480910571393999644e-03,3.480909999999999820e-03,5.713939999999999606e-10,5.065506873999999979e-03,5.065499999999999690e-03,6.874000000000000044e-09
2.700000000000000178e+00,2.152454499999999973e-08,3.294449999999999930e-10,2.119510000000000098e-08,6.641404279999999914e-05,6.635959999999999396e-05,5.444280000000000229e-08,7.228090846999999817e-04,7.227979999999999735e-04,1.108469999999999999e-08,1.927699766575000041e-03,1.927700000000000073e-03,-2.334249999999999978e-10,3.499840571895000262e-03,3.499840000000000156e-03,5.718950000000000191e-10,5.140816860190000268e-03,5.140809999999999998e-03,6.860190000000000068e-09
2.800000000000000266e+00,2.047503899999999891e-08,3.289389999999999950e-10,2.014609999999999932e-08,6.689430549999999924e-05,6.684239999999999550e-05,5.190550000000000114e-08,7.247565372999999677e-04,7.247459999999999623e-04,1.053730000000000000e-08,1.937599761898999972e-03,1.937600000000000043e-03,-2.381009999999999929e-10,3.526510574901000131e-03,3.526510000000000061e-03,5.749009999999999568e-10,5.211816937439999950e-03,5.211809999999999880e-03,6.937439999999999982e-09
2.900000000000000355e+00,1.911561999999999856e-08,3.205199999999999954e-10,1.879509999999999934e-08,6.702114689999999801e-05,6.696940000000000293e-05,5.174690000000000129e-08,7.243259809000000609e-04,7.243230000000000241e-04,2.980899999999999912e-09,1.943189754384000044e-03,1.943190000000000021e-03,-2.456159999999999922e-10,3.535980578743000338e-03,3.535980000000000199e-03,5.787430000000000352e-10,5.264746884240000500e-03,5.264740000000000392e-03,6.884240000000000207e-09
3.000000000000000000e+00,1.799198699999999907e-08,3.073869999999999850e-10,1.768460000000000074e-08,6.664023620000000109e-05,6.658830000000000077e-05,5.193620000000000021e-08,7.248341267199999915e-04,7.248309999999999996e-04,3.126720000000000138e-09,1.943189744196999929e-03,1.943190000000000021e-03,-2.558030000000000109e-10,3.550610582082999907e-03,3.550610000000000051e-03,5.820830000000000464e-10,5.312076844840000686e-03,5.312070000000000333e-03,6.844839999999999702e-09
3.100000000000000089e+00,1.629799499999999982e-08,2.918950000000000038e-10,1.600609999999999997e-08,6.700544929999999600e-05,6.695669999999999541e-05,4.874929999999999832e-08,7.265281620200000033e-04,7.265250000000000007e-04,3.162019999999999799e-09,1.941469733341000042e-03,1.941470000000000045e-03,-2.666589999999999784e-10,3.557490583752999889e-03,3.557489999999999958e-03,5.837530000000000003e-10,5.352526799819999972e-03,5.352520000000000368e-03,6.799820000000000203e-09
3.200000000000000178e+00,1.464505300000000013e-08,2.713530000000000244e-10,1.437370000000000052e-08,6.722128049999998944e-05,6.717269999999999470e-05,4.858050000000000279e-08,7.297892883999999554e-04,7.297859999999999547e-04,3.288399999999999935e-09,1.946199723988999847e-03,1.946199999999999927e-03,-2.760110000000000202e-10,3.558350582417000099e-03,3.558350000000000055e-03,5.824170000000000165e-10,5.393406801869999982e-03,5.393399999999999583e-03,6.801870000000000211e-09
3.300000000000000266e+00,1.470725199999999987e-08,2.516520000000000219e-10,1.445560000000000042e-08,6.691178379999999828e-05,6.686349999999999434e-05,4.828379999999999988e-08,7.305523559400000028e-04,7.305490000000000421e-04,3.355939999999999890e-09,1.955669717809999965e-03,1.955670000000000065e-03,-2.821899999999999840e-10,3.564380584086999926e-03,3.564379999999999805e-03,5.840869999999999704e-10,5.424826754290000032e-03,5.424820000000000336e-03,6.754290000000000258e-09
3.400000000000000355e+00,1.249501399999999988e-08,2.348140000000000227e-10,1.226019999999999950e-08,6.619288150000000729e-05,6.614780000000000388e-05,4.508149999999999906e-08,7.310603370100000496e-04,7.310570000000000176e-04,3.337009999999999833e-09,1.949219706453999982e-03,1.949219999999999989e-03,-2.935460000000000015e-10,3.581160589931999851e-03,3.581159999999999899e-03,5.899319999999999642e-10,5.448926753770000179e-03,5.448920000000000326e-03,6.753769999999999933e-09
